latitude,longitude,number,time,step,isobaricInhPa,valid_time,t,u,v,vo,w_mps
60.0,-80.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,226.04353,23.401352,6.3911133,4.5340043e-05,0.006633066935574571
60.0,-79.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.92,23.54979,6.5512695,4.134653e-05,0.0031179566820806353
60.0,-79.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.83504,23.67479,6.6762695,3.735302e-05,-0.0015634354333191529
60.0,-79.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.79305,23.745102,6.777832,3.3910852e-05,-0.006726564634606821
60.0,-79.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.78914,23.741196,6.8793945,3.143726e-05,-0.011244362574372026
60.0,-78.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.80916,23.653305,7.0004883,3.0125957e-05,-0.013948279944723259
60.0,-78.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.83504,23.48729,7.1723633,2.9842835e-05,-0.014232305783311774
60.0,-78.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.85262,23.26854,7.402832,3.0245166e-05,-0.012538719604406688
60.0,-78.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.8492,23.022446,7.6918945,3.0856114e-05,-0.00967373251978797
60.0,-77.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.81795,22.782211,8.016113,3.119884e-05,-0.006565931850073786
60.0,-77.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.75594,22.57518,8.344238,3.081141e-05,-0.003660182391445482
60.0,-77.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.66658,22.409164,8.648926,2.9470306e-05,-0.0012397362225281784
60.0,-77.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.55867,22.284164,8.89502,2.7369242e-05,0.0005339398313613956
60.0,-76.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.44392,22.184555,9.078613,2.5014859e-05,0.00146003566548965
60.0,-76.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.3321,22.082993,9.199707,2.2913795e-05,0.0013787977575108884
60.0,-76.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.22615,21.954086,9.266113,2.1378975e-05,0.0008148182761805124
60.0,-76.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.1241,21.770493,9.30127,2.0440202e-05,0.00057313083969638
60.0,-75.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,225.01912,21.522446,9.33252,1.9933563e-05,0.0012964806825081045
60.0,-75.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.9034,21.223618,9.367676,1.9531231e-05,0.0031441066385608277
60.0,-75.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.76863,20.899399,9.414551,1.886068e-05,0.00567206331042423
60.0,-75.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.60994,20.579086,9.477051,1.7489772e-05,0.008477008373193613
60.0,-74.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.42586,20.290024,9.531738,1.5180092e-05,0.011517278277114792
60.0,-74.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,224.2159,20.057602,9.566895,1.1857133e-05,0.014791214396745194
60.0,-74.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.98103,19.907211,9.574707,7.699709e-06,0.018217053054936032
60.0,-74.0,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.72615,19.870102,9.547363,3.050547e-06,0.020954249676271183
60.0,-73.75,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.4659,19.969711,9.48877,-1.7476268e-06,0.021608572670719233
60.0,-73.5,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.22664,20.198227,9.402832,-6.3371845e-06,0.018913428930370204
60.0,-73.25,0,2025-05-01 01:00:00,0 days,200.0,2025-05-01 01:00:00,223.04402,20.530258,9.293457,-1.0479707e-05,0.012562110526480062
